order_id,customer_id,customer_name,product_id,product_name,category,order_date,quantity,price,revenue,region,payment_method,order_month,order_year,customer_id,recency,frequency,monetary,r_score,f_score,m_score,customer_segment
ORD17482,CUST8481,Komal Arora,PROD7582,Toaster,Electronics,4/4/2026,11,9694,106634,West,Cod,April    ,2026,CUST1039,1145,1,32739,1,3,3,Others
ORD17483,CUST8482,Yash Thakur,PROD7583,Marker,Stationary,4/4/2026,6,280,1680,South,Upi,April    ,2026,CUST1040,1144,1,44091,1,3,3,Others
ORD17484,CUST8483,Nikita Sharma,PROD7584,Shampoo,Skin Care,4/4/2026,12,4964,59568,North,Credit Card,April    ,2026,CUST1041,1143,1,5140,1,1,1,At Risk
ORD17485,CUST8484,Anjali Mehta,PROD7585,Bluetooth Headphones,Electronics,4/4/2026,7,3827,26789,East,Debit Card,April    ,2026,CUST1042,1142,1,50556,1,3,3,Others
ORD17486,CUST8485,Manpreet Kaur,PROD7586,Mouse,Electronics,4/4/2026,2,2649,5298,North,Credit Card,April    ,2026,CUST1043,1141,1,134064,1,5,5,Others
ORD17487,CUST8486,Kevin D'Costa,PROD7587,Heels,Fashion,4/4/2026,4,1356,5424,West,Cod,April    ,2026,CUST1044,1140,1,3756,1,1,1,At Risk
ORD17488,CUST8487,Chris Fernandes,PROD7588,Sweater,Fashion,4/4/2026,10,2481,24810,South,Upi,April    ,2026,NULL,1139,3,199872,1,5,5,Others
ORD17489,CUST8488,Ayesha Siddiqui,PROD7589,Cap,Fashion,4/4/2026,5,2449,12245,North,Credit Card,April    ,2026,CUST1046,1138,1,25296,1,2,2,At Risk
ORD17490,CUST8489,Rekha Pandey,PROD7590,Study Table,Furniture,4/4/2026,2,7911,15822,East,Debit Card,April    ,2026,CUST1047,1137,1,19400,1,2,2,At Risk
ORD17491,CUST8490,Bharath Gaur,PROD7591,Induction Cooktop,Electronics,4/4/2026,5,5051,25255,North,Credit Card,April    ,2026,CUST1048,1136,1,106155,1,5,5,Others
ORD17492,CUST8491,Megha Saxena,PROD7592,Marker,Stationary,4/4/2026,15,8718,130770,West,Cod,April    ,2026,CUST1049,1135,1,17997,1,2,2,At Risk
ORD17544,CUST8543,Mukesh Chauhan,PROD7644,Jeans,Fashion,4/4/2026,14,1353,18942,North,Credit Card,April    ,2026,CUST1050,1134,1,146816,1,5,5,Others
ORD17545,CUST8544,Komal Arora,PROD7645,Wallet,Accessories,4/4/2026,2,231,462,East,Debit Card,April    ,2026,CUST1051,1133,1,144330,1,5,5,Others
ORD17735,CUST8734,Yash Thakur,PROD7835,Wallet,Accessories,4/4/2026,9,8766,78894,East,Debit Card,April    ,2026,CUST1052,1132,1,19521,1,2,2,At Risk
ORD17736,CUST8735,Nikita Sharma,PROD7836,Sofa,Furniture,4/4/2026,15,8089,121335,North,Credit Card,April    ,2026,CUST1053,1131,1,2154,1,1,1,At Risk
ORD17520,CUST8519,Shruti Das,PROD7620,Water Bottle,Accessories,4/4/2026,12,5240,62880,East,Debit Card,April    ,2026,CUST1054,1130,1,37349,1,3,3,Others
ORD17521,CUST8520,Amit Singh,PROD7621,Gym Dumbbells,Accessories,4/4/2026,4,644,2576,North,Credit Card,April    ,2026,CUST1055,1129,1,8131,1,1,1,At Risk
ORD17522,CUST8521,Karan Malhotra,PROD7622,Perfume,Accessories,4/4/2026,17,9752,165784,West,Cod,April    ,2026,CUST1056,1128,1,69608,1,4,4,Others
ORD17523,CUST8522,Michael D'Souza,PROD7623,Toy Car,Toy,4/4/2026,17,9055,153935,South,Upi,April    ,2026,CUST1057,1127,1,101231,1,5,5,Others
ORD17525,CUST8524,Imran Hussain,PROD7625,Curtains,Home Decor,4/4/2026,11,5626,61886,East,Debit Card,April    ,2026,CUST1058,1126,1,95010,1,5,5,Others
ORD17527,CUST8526,Anita Jain,PROD7627,Webcam,Electronics,4/4/2026,7,7594,53158,West,Cod,April    ,2026,CUST1059,1125,1,50364,1,3,3,Others
ORD17528,CUST8527,Varun Dhawan,PROD7628,Sneakers,Fashion,4/4/2026,14,6621,92694,South,Upi,April    ,2026,CUST1060,1124,1,26220,1,2,2,At Risk
ORD17529,CUST8528,Akash Chatterjee,PROD7629,Shirt,Fashion,4/4/2026,8,9645,77160,North,Credit Card,April    ,2026,CUST1061,1123,1,11913,1,1,1,At Risk
ORD17533,CUST8532,Samuel Joseph,PROD7633,Ceiling Light,Electronics,4/4/2026,10,1062,10620,South,Upi,April    ,2026,CUST1062,1122,1,107170,1,5,5,Others
ORD17772,CUST8771,Shruti Das,PROD7872,Heels,Fashion,4/4/2026,17,5033,85561,West,Cod,April    ,2026,CUST1063,1121,1,4299,1,1,1,At Risk
ORD18312,CUST9311,Vikram Patel,PROD8412,Face Wash,Skin Care,4/4/2026,17,6864,116688,West,Cod,April    ,2026,CUST1064,1120,1,83790,1,4,4,Others
ORD18473,CUST9472,Varun Dhawan,PROD8573,Toy Car,Toy,4/4/2026,2,2885,5770,South,Upi,April    ,2026,CUST1065,1119,1,25270,1,2,2,At Risk
ORD18823,CUST9822,Amit Singh,PROD8923,Diary,Stationary,4/4/2026,11,6060,66660,South,Upi,April    ,2026,CUST1066,1118,1,102972,1,5,5,Others
ORD18843,CUST9842,Shruti Das,PROD8943,Running Shoes,Fashion,4/4/2026,1,1979,1979,South,Upi,April    ,2026,CUST1067,1117,1,29555,1,2,2,At Risk
ORD18907,CUST9906,Amit Singh,PROD9007,Toaster,Electronics,4/4/2026,10,2939,29390,West,Cod,April    ,2026,CUST1068,1116,1,137715,1,5,5,Others
ORD19767,CUST10766,Priya Verma,PROD9867,Heels,Fashion,4/4/2026,17,5164,87788,West,Cod,April    ,2026,CUST1069,1115,1,23618,1,2,2,At Risk
ORD19898,CUST10897,Arjun Reddy,PROD9998,Toy Car,Toy,4/4/2026,11,869,9559,South,Upi,April    ,2026,CUST1070,1114,1,6525,1,1,1,At Risk
ORD11351,CUST2350,Imran Hussain,PROD1451,Smartphone,Electronics,4/4/2026,18,7974,143532,North,Credit Card,April    ,2026,CUST1071,1113,1,25102,1,2,2,At Risk
ORD20262,CUST11261,Rekha Pandey,PROD10362,Shoes,Fashion,4/4/2026,6,2594,15564,West,Cod,April    ,2026,CUST1072,1112,1,56294,1,4,4,Others
ORD20468,CUST11467,Ali Khan,PROD10568,Toy Car,Toy,4/4/2026,5,6430,32150,South,Upi,April    ,2026,CUST1073,1111,1,5626,1,1,1,At Risk
ORD20907,CUST11906,John Mathew,PROD11007,Heels,Fashion,4/4/2026,3,312,936,West,Cod,April    ,2026,CUST1074,1110,1,120669,1,5,5,Others
ORD21678,CUST12677,Shruti Das,PROD11778,Monitor,Electronics,4/4/2026,9,2108,18972,South,Upi,April    ,2026,CUST1075,1109,1,120204,1,5,5,Others
ORD21782,CUST12781,Rahul Sharma,PROD11882,Shoes,Fashion,4/4/2026,6,8501,51006,West,Cod,April    ,2026,CUST1076,1108,1,21960,1,2,2,At Risk
ORD11352,CUST2351,Deepak Tiwari,PROD1452,Webcam,Electronics,4/4/2026,17,4542,77214,West,Cod,April    ,2026,CUST1077,1107,1,24680,1,2,2,At Risk
ORD21968,CUST12967,Paul Joseph,PROD12068,Saree,Fashion,4/4/2026,4,4504,18016,South,Upi,April    ,2026,CUST1078,1106,1,116832,1,5,5,Others
ORD22498,CUST13497,Amit Singh,PROD12598,Sandals,Fashion,4/4/2026,8,6441,51528,South,Upi,April    ,2026,CUST1079,1105,1,158640,1,5,5,Others
ORD22668,CUST13667,Neha Gupta,PROD12768,Teddy Bear,Toy,4/4/2026,17,997,16949,South,Upi,April    ,2026,CUST1080,1104,1,8688,1,1,1,At Risk
ORD22910,CUST13909,Megha Saxena,PROD13010,Heels,Fashion,4/4/2026,8,6672,53376,East,Debit Card,April    ,2026,CUST1081,1103,1,30224,1,3,3,Others
ORD23373,CUST14372,David Thomas,PROD13473,Marker,Stationary,4/4/2026,8,1082,8656,South,Upi,April    ,2026,CUST1082,1102,1,80808,1,4,4,Others
ORD23603,CUST14602,Megha Saxena,PROD13703,Toy Car,Toy,4/4/2026,7,1675,11725,South,Upi,April    ,2026,CUST1083,1101,1,63096,1,4,4,Others
ORD24063,CUST15062,Aditya Roy,PROD14163,Phone,Electronics,4/4/2026,14,4471,62594,South,Upi,April    ,2026,CUST1084,1100,1,121300,1,5,5,Others
ORD24252,CUST15251,Aditya Roy,PROD14352,Shoes,Fashion,4/4/2026,16,5003,80048,West,Cod,April    ,2026,CUST1085,1099,1,78003,1,4,4,Others
ORD25883,CUST16882,Arjun Reddy,PROD15983,Toy Car,Toy,4/4/2026,17,5051,85867,South,Upi,April    ,2026,CUST1086,1098,1,93980,1,5,5,Others
ORD11353,CUST2352,Anita Jain,PROD1453,Sneakers,Fashion,4/4/2026,20,8904,178080,South,Upi,April    ,2026,CUST1087,1097,1,91872,1,4,4,Others
ORD26517,CUST17516,Rajesh Yadav,PROD16617,Marker,Stationary,4/4/2026,1,8846,8846,West,Cod,April    ,2026,CUST1088,1096,1,149580,1,5,5,Others
ORD26943,CUST17942,Vikram Patel,PROD17043,Teddy Bear,Toy,4/4/2026,5,829,4145,South,Upi,April    ,2026,CUST1089,1095,1,121261,1,5,5,Others
ORD27647,CUST18646,Arjun Reddy,PROD17747,Toaster,Electronics,4/4/2026,4,693,2772,West,Cod,April    ,2026,CUST1090,1094,1,16398,1,2,2,At Risk
ORD28637,CUST19636,Manpreet Kaur,PROD18737,Perfume,Accessories,4/4/2026,15,8849,132735,West,Cod,April    ,2026,CUST1091,1093,1,116679,1,5,5,Others
ORD28903,CUST19902,Amit Singh,PROD19003,Saree,Fashion,4/4/2026,2,6555,13110,South,Upi,April    ,2026,CUST1092,1092,1,88704,1,4,4,Others
ORD29208,CUST20207,Rekha Pandey,PROD19308,Toy Car,Toy,4/4/2026,18,8527,153486,South,Upi,April    ,2026,CUST1093,1091,1,54840,1,4,4,Others
ORD29398,CUST20397,Bharath Gaur,PROD19498,Toy Car,Toy,4/4/2026,5,5457,27285,South,Upi,April    ,2026,CUST1094,1090,1,4104,1,1,1,At Risk
ORD11354,CUST2353,Varun Dhawan,PROD1454,Shirt,Fashion,4/4/2026,2,8219,16438,North,Credit Card,April    ,2026,CUST1095,1089,1,950,1,1,1,At Risk
ORD30707,CUST21706,Gurpreet Singh,PROD20807,Printer,Electronics,4/4/2026,20,3036,60720,West,Cod,April    ,2026,CUST1096,1088,1,58788,1,4,4,Others
ORD31273,CUST22272,Rohit Kumar,PROD21373,Monitor,Electronics,4/4/2026,19,649,12331,South,Upi,April    ,2026,CUST1097,1087,1,29296,1,2,2,At Risk
ORD31340,CUST22339,Sana Khan,PROD21440,Thermos,Home,4/4/2026,11,4890,53790,East,Debit Card,April    ,2026,CUST1098,1086,1,29889,1,3,3,Others
ORD10046,,Unknown,PROD146,Skipping Rope,Accessories,2/21/2023,17,5722,97274,North,Credit Card,February ,2023,CUST1099,1085,1,13968,1,2,2,At Risk
ORD10058,CUST1057,Unknown,PROD158,Led Bulb,Electronics,3/5/2023,13,7787,101231,South,Upi,March    ,2023,CUST1100,1084,1,39780,1,3,3,Others
ORD31868,CUST22867,Arjun Reddy,PROD21968,Toy Car,Toy,4/4/2026,15,9968,149520,South,Upi,April    ,2026,CUST1101,1083,1,37835,1,3,3,Others
ORD32153,CUST23152,Tanya Sharma,PROD22253,Toy Car,Toy,4/4/2026,9,9456,85104,South,Upi,April    ,2026,CUST1102,1082,1,46605,1,3,3,Others
ORD32483,CUST23482,Ayesha Siddiqui,PROD22583,Board Game,Game,4/4/2026,5,462,2310,South,Upi,April    ,2026,CUST1103,1081,1,4758,1,1,1,At Risk
ORD33083,CUST24082,Karan Malhotra,PROD23183,Saree,Fashion,4/4/2026,14,641,8974,South,Upi,April    ,2026,CUST1104,1080,1,65270,1,4,4,Others
ORD33752,CUST24751,Rahul Sharma,PROD23852,Shoes,Fashion,4/4/2026,6,1980,11880,West,Cod,April    ,2026,CUST1105,1079,1,30728,1,3,3,Others
ORD34888,CUST25887,Amit Singh,PROD24988,Saree,Fashion,4/4/2026,8,8202,65616,South,Upi,April    ,2026,CUST1106,1078,1,110535,1,5,5,Others
ORD10104,CUST1103,Unknown,PROD204,T-Shirt,Fashion,4/20/2023,13,366,4758,North,Credit Card,April    ,2023,CUST1107,1077,1,37772,1,3,3,Others
ORD11185,CUST2184,Anjali Mehta,PROD1285,Travel Mug,Accessories,4/4/2026,9,5322,47898,East,Debit Card,April    ,2026,CUST1108,1076,1,169434,1,5,5,Others
ORD11857,CUST2856,Anita Jain,PROD1957,Usb Cable,Electronics,4/4/2026,9,7864,70776,West,Cod,April    ,2026,CUST1109,1075,1,37856,1,3,3,Others
ORD12757,CUST3756,Komal Arora,PROD2857,Shoes,Fashion,4/4/2026,6,2441,14646,West,Cod,April    ,2026,CUST1110,1074,1,110780,1,5,5,Others
ORD12817,CUST3816,Yash Thakur,PROD2917,Moisturizer,Skin Care,4/4/2026,5,3136,15680,West,Cod,April    ,2026,CUST1111,1073,1,31041,1,3,3,Others
ORD13468,CUST4467,Amit Singh,PROD3568,Puzzle Game,Game,4/4/2026,17,8286,140862,South,Upi,April    ,2026,CUST1112,1072,1,93756,1,5,5,Others
ORD13533,CUST4532,Neha Gupta,PROD3633,Toy Car,Toy,4/4/2026,16,4977,79632,South,Upi,April    ,2026,CUST1113,1071,1,109840,1,5,5,Others
ORD16463,CUST7462,Faizan Ansari,PROD6563,Phone,Electronics,4/4/2026,4,5418,21672,South,Upi,April    ,2026,CUST1114,1070,1,127205,1,5,5,Others
ORD18313,CUST9312,Harpreet Singh,PROD8413,Puzzle Game,Game,4/4/2026,1,2617,2617,South,Upi,April    ,2026,CUST1115,1069,1,8448,1,1,1,At Risk
ORD18445,CUST9444,Amit Singh,PROD8545,Heels,Fashion,4/4/2026,5,7418,37090,East,Debit Card,April    ,2026,CUST1116,1068,1,12152,1,1,1,At Risk
ORD19518,CUST10517,Neha Gupta,PROD9618,Toy Car,Toy,4/4/2026,1,7454,7454,South,Upi,April    ,2026,CUST1117,1067,1,1432,1,1,1,At Risk
ORD20248,CUST11247,Rohit Kumar,PROD10348,Diary,Stationary,4/4/2026,1,790,790,South,Upi,April    ,2026,CUST1118,1066,1,15288,1,2,2,At Risk
ORD20418,CUST11417,Shruti Das,PROD10518,Board Game,Game,4/4/2026,19,6265,119035,South,Upi,April    ,2026,CUST1119,1065,1,91896,1,4,4,Others
ORD20473,CUST11472,Priya Verma,PROD10573,Sneakers,Fashion,4/4/2026,1,3884,3884,South,Upi,April    ,2026,CUST1120,1064,1,97432,1,5,5,Others
ORD20657,CUST11656,Ali Khan,PROD10757,Perfume,Accessories,4/4/2026,1,1277,1277,West,Cod,April    ,2026,CUST1121,1063,1,155394,1,5,5,Others
ORD20923,CUST11922,Amit Singh,PROD11023,Saree,Fashion,4/4/2026,19,5061,96159,South,Upi,April    ,2026,CUST1122,1062,1,53424,1,3,3,Others
ORD21279,CUST12278,Priya Verma,PROD11379,Hoodie,Fashion,4/4/2026,7,2936,20552,North,Credit Card,April    ,2026,CUST1123,1061,1,60180,1,4,4,Others
ORD21667,CUST12666,Ramesh Gupta,PROD11767,Heels,Fashion,4/4/2026,1,6287,6287,West,Cod,April    ,2026,CUST1124,1060,1,16008,1,2,2,At Risk
ORD21783,CUST12782,Priya Verma,PROD11883,Phone,Electronics,4/4/2026,19,8930,169670,South,Upi,April    ,2026,CUST1125,1059,1,3135,1,1,1,At Risk
ORD22351,CUST13350,Amit Singh,PROD12451,Laptop,Electronics,4/4/2026,5,1844,9220,North,Credit Card,April    ,2026,CUST1126,1058,1,17043,1,2,2,At Risk
ORD22522,CUST13521,Komal Arora,PROD12622,Heels,Fashion,4/4/2026,1,1119,1119,West,Cod,April    ,2026,CUST1127,1057,1,24563,1,2,2,At Risk
ORD22712,CUST13711,Yash Thakur,PROD12812,Heels,Fashion,4/4/2026,1,6947,6947,West,Cod,April    ,2026,CUST1128,1056,1,54100,1,3,3,Others
ORD23568,CUST14567,Shruti Das,PROD13668,Sweater,Fashion,4/4/2026,17,2628,44676,South,Upi,April    ,2026,CUST1129,1055,1,92700,1,4,4,Others
ORD26453,CUST17452,Ali Khan,PROD16553,Toy Car,Toy,4/4/2026,16,7774,124384,South,Upi,April    ,2026,CUST1130,1054,1,71340,1,4,4,Others
ORD27767,CUST18766,Rahul Sharma,PROD17867,Shoes,Fashion,4/4/2026,10,8276,82760,West,Cod,April    ,2026,CUST1131,1053,1,146145,1,5,5,Others
ORD31488,CUST22487,Neha Gupta,PROD21588,Toy Car,Toy,4/4/2026,5,2168,10840,South,Upi,April    ,2026,CUST1132,1052,1,87050,1,4,4,Others
ORD31855,CUST22854,Bharath Gaur,PROD21955,Desk,Furniture,4/4/2026,10,5888,58880,East,Debit Card,April    ,2026,CUST1133,1051,1,17044,1,2,2,At Risk
ORD32172,CUST23171,Vikram Patel,PROD22272,Power Bank,Electronics,4/4/2026,1,6141,6141,West,Cod,April    ,2026,CUST1134,1050,1,11340,1,1,1,At Risk
ORD33068,CUST24067,Ali Khan,PROD23168,Sweater,Fashion,4/4/2026,1,319,319,South,Upi,April    ,2026,CUST1135,1049,1,41700,1,3,3,Others
ORD33744,CUST24743,Rekha Pandey,PROD23844,Boots,Fashion,4/4/2026,18,2692,48456,North,Credit Card,April    ,2026,CUST1136,1048,1,425,1,1,1,At Risk
ORD34573,CUST25572,Amit Singh,PROD24673,Board Game,Game,4/4/2026,1,1788,1788,South,Upi,April    ,2026,CUST1137,1047,1,121478,1,5,5,Others
ORD34874,CUST25873,Manpreet Kaur,PROD24974,Cap,Fashion,4/4/2026,6,9821,58926,North,Credit Card,April    ,2026,CUST1138,1046,1,55368,1,4,4,Others
ORD10119,CUST1118,Unknown,PROD219,Shirt,Fashion,5/5/2023,13,1176,15288,North,Credit Card,May      ,2023,CUST1139,1045,1,31702,1,3,3,Others
ORD10012,CUST1011,Ramesh Gupta,PROD112,Coffee Maker,Electronics,1/18/2023,1,1253,1253,West,Cod,January  ,2023,CUST1140,1044,1,3971,1,1,1,At Risk
ORD10017,CUST1016,David Thomas,PROD117,Perfume,Accessories,1/23/2023,1,1776,1776,West,Cod,January  ,2023,CUST1141,1043,1,66319,1,4,4,Others
ORD17808,CUST8807,Vikram Patel,PROD7908,Toy Car,Toy,4/4/2026,18,8889,160002,South,Upi,April    ,2026,CUST1142,1042,1,59192,1,4,4,Others
ORD18488,CUST9487,Sana Khan,PROD8588,Teddy Bear,Toy,4/4/2026,5,4336,21680,South,Upi,April    ,2026,CUST1143,1041,1,20140,1,2,2,At Risk
ORD22938,CUST13937,Shruti Das,PROD13038,Toy Car,Toy,4/4/2026,5,3431,17155,South,Upi,April    ,2026,CUST1144,1040,1,7572,1,1,1,At Risk
ORD10029,CUST1028,Deepak Tiwari,PROD129,Pen,Stationary,2/4/2023,9,8188,73692,North,Credit Card,February ,2023,CUST1145,1039,1,6781,1,1,1,At Risk
ORD10030,CUST1029,Anita Jain,PROD130,Lunch Box,Home ,2/5/2023,19,6860,130340,East,Debit Card,February ,2023,CUST1146,1038,1,147662,1,5,5,Others
ORD10031,CUST1030,Varun Dhawan,PROD131,Yoga Mat,Accessories,2/6/2023,13,3563,46319,North,Credit Card,February ,2023,CUST1147,1037,1,93152,1,5,5,Others
ORD10032,CUST1031,Akash Chatterjee,PROD132,Deodorant,Accessories,2/7/2023,3,4012,12036,West,Cod,February ,2023,CUST1148,1036,1,55485,1,4,4,Others
ORD10033,CUST1032,Neha Gupta,PROD133,Teddy Bear,Toy,2/8/2023,2,7957,15914,South,Upi,February ,2023,CUST1149,1035,1,106928,1,5,5,Others
ORD10034,CUST1033,Simran Kaur,PROD134,Laptop Bag,Accessories,2/9/2023,20,8809,176180,North,Credit Card,February ,2023,CUST1150,1034,1,80937,1,4,4,Others
ORD10035,,Chris Fernandes,PROD135,Bedsheet,Home Decor,2/10/2023,11,5451,59961,East,Debit Card,February ,2023,CUST1151,1033,1,35838,1,3,3,Others
ORD10036,CUST1035,Samuel Joseph,PROD136,Tablet,Electronics,2/11/2023,5,6363,31815,North,Credit Card,February ,2023,CUST1152,1032,1,9270,1,1,1,At Risk
ORD10037,CUST1036,Faizan Ansari,PROD137,Power Bank,Electronics,2/12/2023,10,2590,25900,West,Cod,February ,2023,CUST1153,1031,1,91860,1,4,4,Others
ORD10038,CUST1037,Kavita Shukla,PROD138,Formal Shoes,Fashion,2/13/2023,3,4637,13911,South,Upi,February ,2023,CUST1154,1030,1,5376,1,1,1,At Risk
ORD10039,CUST1038,Nitin Bansal,PROD139,Jeans,Fashion,2/14/2023,17,2780,47260,North,Credit Card,February ,2023,CUST1155,1029,1,40170,1,3,3,Others
ORD10040,CUST1039,Tanya Sharma,PROD140,Wallet,Accessories,2/15/2023,7,4677,32739,East,Debit Card,February ,2023,CUST1156,1028,1,32340,1,3,3,Others
ORD10041,CUST1040,Priyanshu Singh,PROD141,Sofa,Furniture,2/16/2023,9,4899,44091,North,Credit Card,February ,2023,CUST1157,1027,1,5710,1,1,1,At Risk
