order_id,customer_id,customer_name,product_id,product_name,category,order_date,quantity,price,revenue,region,payment_method,order_month,order_year
ORD29208,CUST20207,Rekha Pandey,PROD19308,Toy Car,Toy,2026-04-04,18,8527.00,153486.00,South,Upi,April    ,2026
ORD29398,CUST20397,Bharath Gaur,PROD19498,Toy Car,Toy,2026-04-04,5,5457.00,27285.00,South,Upi,April    ,2026
ORD11354,CUST2353,Varun Dhawan,PROD1454,Shirt,Fashion,2026-04-04,2,8219.00,16438.00,North,Credit Card,April    ,2026
ORD30707,CUST21706,Gurpreet Singh,PROD20807,Printer,Electronics,2026-04-04,20,3036.00,60720.00,West,Cod,April    ,2026
ORD31273,CUST22272,Rohit Kumar,PROD21373,Monitor,Electronics,2026-04-04,19,649.00,12331.00,South,Upi,April    ,2026
ORD31340,CUST22339,Sana Khan,PROD21440,Thermos,Home,2026-04-04,11,4890.00,53790.00,East,Debit Card,April    ,2026
ORD10046,,Unknown,PROD146,Skipping Rope,Accessories,2023-02-21,17,5722.00,97274.00,North,Credit Card,February ,2023
ORD10058,CUST1057,Unknown,PROD158,Led Bulb,Electronics,2023-03-05,13,7787.00,101231.00,South,Upi,March    ,2023
ORD31868,CUST22867,Arjun Reddy,PROD21968,Toy Car,Toy,2026-04-04,15,9968.00,149520.00,South,Upi,April    ,2026
ORD32153,CUST23152,Tanya Sharma,PROD22253,Toy Car,Toy,2026-04-04,9,9456.00,85104.00,South,Upi,April    ,2026
ORD32483,CUST23482,Ayesha Siddiqui,PROD22583,Board Game,Game,2026-04-04,5,462.00,2310.00,South,Upi,April    ,2026
ORD33083,CUST24082,Karan Malhotra,PROD23183,Saree,Fashion,2026-04-04,14,641.00,8974.00,South,Upi,April    ,2026
ORD33752,CUST24751,Rahul Sharma,PROD23852,Shoes,Fashion,2026-04-04,6,1980.00,11880.00,West,Cod,April    ,2026
ORD34888,CUST25887,Amit Singh,PROD24988,Saree,Fashion,2026-04-04,8,8202.00,65616.00,South,Upi,April    ,2026
ORD10104,CUST1103,Unknown,PROD204,T-Shirt,Fashion,2023-04-20,13,366.00,4758.00,North,Credit Card,April    ,2023
ORD11185,CUST2184,Anjali Mehta,PROD1285,Travel Mug,Accessories,2026-04-04,9,5322.00,47898.00,East,Debit Card,April    ,2026
ORD11857,CUST2856,Anita Jain,PROD1957,Usb Cable,Electronics,2026-04-04,9,7864.00,70776.00,West,Cod,April    ,2026
ORD12757,CUST3756,Komal Arora,PROD2857,Shoes,Fashion,2026-04-04,6,2441.00,14646.00,West,Cod,April    ,2026
ORD12817,CUST3816,Yash Thakur,PROD2917,Moisturizer,Skin Care,2026-04-04,5,3136.00,15680.00,West,Cod,April    ,2026
ORD13468,CUST4467,Amit Singh,PROD3568,Puzzle Game,Game,2026-04-04,17,8286.00,140862.00,South,Upi,April    ,2026
ORD13533,CUST4532,Neha Gupta,PROD3633,Toy Car,Toy,2026-04-04,16,4977.00,79632.00,South,Upi,April    ,2026
ORD16463,CUST7462,Faizan Ansari,PROD6563,Phone,Electronics,2026-04-04,4,5418.00,21672.00,South,Upi,April    ,2026
ORD18313,CUST9312,Harpreet Singh,PROD8413,Puzzle Game,Game,2026-04-04,1,2617.00,2617.00,South,Upi,April    ,2026
ORD18445,CUST9444,Amit Singh,PROD8545,Heels,Fashion,2026-04-04,5,7418.00,37090.00,East,Debit Card,April    ,2026
ORD19518,CUST10517,Neha Gupta,PROD9618,Toy Car,Toy,2026-04-04,1,7454.00,7454.00,South,Upi,April    ,2026
ORD20248,CUST11247,Rohit Kumar,PROD10348,Diary,Stationary,2026-04-04,1,790.00,790.00,South,Upi,April    ,2026
ORD20418,CUST11417,Shruti Das,PROD10518,Board Game,Game,2026-04-04,19,6265.00,119035.00,South,Upi,April    ,2026
ORD20473,CUST11472,Priya Verma,PROD10573,Sneakers,Fashion,2026-04-04,1,3884.00,3884.00,South,Upi,April    ,2026
ORD20657,CUST11656,Ali Khan,PROD10757,Perfume,Accessories,2026-04-04,1,1277.00,1277.00,West,Cod,April    ,2026
ORD20923,CUST11922,Amit Singh,PROD11023,Saree,Fashion,2026-04-04,19,5061.00,96159.00,South,Upi,April    ,2026
ORD21279,CUST12278,Priya Verma,PROD11379,Hoodie,Fashion,2026-04-04,7,2936.00,20552.00,North,Credit Card,April    ,2026
ORD21667,CUST12666,Ramesh Gupta,PROD11767,Heels,Fashion,2026-04-04,1,6287.00,6287.00,West,Cod,April    ,2026
ORD21783,CUST12782,Priya Verma,PROD11883,Phone,Electronics,2026-04-04,19,8930.00,169670.00,South,Upi,April    ,2026
ORD22351,CUST13350,Amit Singh,PROD12451,Laptop,Electronics,2026-04-04,5,1844.00,9220.00,North,Credit Card,April    ,2026
ORD22522,CUST13521,Komal Arora,PROD12622,Heels,Fashion,2026-04-04,1,1119.00,1119.00,West,Cod,April    ,2026
ORD22712,CUST13711,Yash Thakur,PROD12812,Heels,Fashion,2026-04-04,1,6947.00,6947.00,West,Cod,April    ,2026
ORD23568,CUST14567,Shruti Das,PROD13668,Sweater,Fashion,2026-04-04,17,2628.00,44676.00,South,Upi,April    ,2026
ORD26453,CUST17452,Ali Khan,PROD16553,Toy Car,Toy,2026-04-04,16,7774.00,124384.00,South,Upi,April    ,2026
ORD27767,CUST18766,Rahul Sharma,PROD17867,Shoes,Fashion,2026-04-04,10,8276.00,82760.00,West,Cod,April    ,2026
ORD31488,CUST22487,Neha Gupta,PROD21588,Toy Car,Toy,2026-04-04,5,2168.00,10840.00,South,Upi,April    ,2026
ORD31855,CUST22854,Bharath Gaur,PROD21955,Desk,Furniture,2026-04-04,10,5888.00,58880.00,East,Debit Card,April    ,2026
ORD32172,CUST23171,Vikram Patel,PROD22272,Power Bank,Electronics,2026-04-04,1,6141.00,6141.00,West,Cod,April    ,2026
ORD33068,CUST24067,Ali Khan,PROD23168,Sweater,Fashion,2026-04-04,1,319.00,319.00,South,Upi,April    ,2026
ORD33744,CUST24743,Rekha Pandey,PROD23844,Boots,Fashion,2026-04-04,18,2692.00,48456.00,North,Credit Card,April    ,2026
ORD34573,CUST25572,Amit Singh,PROD24673,Board Game,Game,2026-04-04,1,1788.00,1788.00,South,Upi,April    ,2026
ORD34874,CUST25873,Manpreet Kaur,PROD24974,Cap,Fashion,2026-04-04,6,9821.00,58926.00,North,Credit Card,April    ,2026
ORD10119,CUST1118,Unknown,PROD219,Shirt,Fashion,2023-05-05,13,1176.00,15288.00,North,Credit Card,May      ,2023
ORD10012,CUST1011,Ramesh Gupta,PROD112,Coffee Maker,Electronics,2023-01-18,1,1253.00,1253.00,West,Cod,January  ,2023
ORD10017,CUST1016,David Thomas,PROD117,Perfume,Accessories,2023-01-23,1,1776.00,1776.00,West,Cod,January  ,2023
ORD17808,CUST8807,Vikram Patel,PROD7908,Toy Car,Toy,2026-04-04,18,8889.00,160002.00,South,Upi,April    ,2026
ORD18488,CUST9487,Sana Khan,PROD8588,Teddy Bear,Toy,2026-04-04,5,4336.00,21680.00,South,Upi,April    ,2026
ORD22938,CUST13937,Shruti Das,PROD13038,Toy Car,Toy,2026-04-04,5,3431.00,17155.00,South,Upi,April    ,2026
ORD10029,CUST1028,Deepak Tiwari,PROD129,Pen,Stationary,2023-02-04,9,8188.00,73692.00,North,Credit Card,February ,2023
ORD10030,CUST1029,Anita Jain,PROD130,Lunch Box,Home ,2023-02-05,19,6860.00,130340.00,East,Debit Card,February ,2023
ORD10031,CUST1030,Varun Dhawan,PROD131,Yoga Mat,Accessories,2023-02-06,13,3563.00,46319.00,North,Credit Card,February ,2023
ORD10032,CUST1031,Akash Chatterjee,PROD132,Deodorant,Accessories,2023-02-07,3,4012.00,12036.00,West,Cod,February ,2023
ORD10033,CUST1032,Neha Gupta,PROD133,Teddy Bear,Toy,2023-02-08,2,7957.00,15914.00,South,Upi,February ,2023
ORD10034,CUST1033,Simran Kaur,PROD134,Laptop Bag,Accessories,2023-02-09,20,8809.00,176180.00,North,Credit Card,February ,2023
ORD10035,,Chris Fernandes,PROD135,Bedsheet,Home Decor,2023-02-10,11,5451.00,59961.00,East,Debit Card,February ,2023
ORD10036,CUST1035,Samuel Joseph,PROD136,Tablet,Electronics,2023-02-11,5,6363.00,31815.00,North,Credit Card,February ,2023
ORD10037,CUST1036,Faizan Ansari,PROD137,Power Bank,Electronics,2023-02-12,10,2590.00,25900.00,West,Cod,February ,2023
ORD10038,CUST1037,Kavita Shukla,PROD138,Formal Shoes,Fashion,2023-02-13,3,4637.00,13911.00,South,Upi,February ,2023
ORD10039,CUST1038,Nitin Bansal,PROD139,Jeans,Fashion,2023-02-14,17,2780.00,47260.00,North,Credit Card,February ,2023
ORD10040,CUST1039,Tanya Sharma,PROD140,Wallet,Accessories,2023-02-15,7,4677.00,32739.00,East,Debit Card,February ,2023
ORD10041,CUST1040,Priyanshu Singh,PROD141,Sofa,Furniture,2023-02-16,9,4899.00,44091.00,North,Credit Card,February ,2023
ORD10042,CUST1041,Rohit Kumar,PROD142,Microwave Oven,Home,2023-02-17,1,5140.00,5140.00,West,Cod,February ,2023
ORD10043,CUST1042,Gurpreet Singh,PROD143,Floor Lamp,Home Decor,2023-02-18,11,4596.00,50556.00,South,Upi,February ,2023
ORD10044,CUST1043,Anthony Rodrigues,PROD144,Pencil,Stationary,2023-02-19,16,8379.00,134064.00,North,Credit Card,February ,2023
ORD10045,CUST1044,Yash Thakur,PROD145,Travel Mug,Accessories,2023-02-20,3,1252.00,3756.00,East,Debit Card,February ,2023
ORD10047,CUST1046,Mukesh Chauhan,PROD147,Face Wash,Skin Care,2023-02-22,16,1581.00,25296.00,West,Cod,February ,2023
ORD10048,CUST1047,Komal Arora,PROD148,Puzzle Game,Game,2023-02-23,20,970.00,19400.00,South,Upi,February ,2023
ORD10049,CUST1048,Yash Thakur,PROD149,Screen Protector,Electronics,2023-02-24,15,7077.00,106155.00,North,Credit Card,February ,2023
ORD10050,CUST1049,Nikita Sharma,PROD150,Pillow,Home Decor,2023-02-25,3,5999.00,17997.00,East,Debit Card,February ,2023
ORD10051,CUST1050,Anjali Mehta,PROD151,Gaming Console,Electronics,2023-02-26,16,9176.00,146816.00,North,Credit Card,February ,2023
ORD10052,CUST1051,Manpreet Kaur,PROD152,Usb Cable,Electronics,2023-02-27,17,8490.00,144330.00,West,Cod,February ,2023
ORD10053,CUST1052,Kevin D'Costa,PROD153,Sandals,Fashion,2023-02-28,9,2169.00,19521.00,South,Upi,February ,2023
ORD10054,CUST1053,Chris Fernandes,PROD154,Jacket,Fashion,2023-03-01,3,718.00,2154.00,North,Credit Card,March    ,2023
ORD10055,CUST1054,Ayesha Siddiqui,PROD155,Belt,Accessories,2023-03-02,17,2197.00,37349.00,East,Debit Card,March    ,2023
ORD10056,CUST1055,Rekha Pandey,PROD156,Set Bed,Home Decor,2023-03-03,1,8131.00,8131.00,North,Credit Card,March    ,2023
ORD10057,CUST1056,Bharath Gaur,PROD157,Electric Kettle,Electronics,2023-03-04,8,8701.00,69608.00,West,Cod,March    ,2023
ORD10059,CUST1058,Vikram Patel,PROD159,Eraser,Stationary,2023-03-06,15,6334.00,95010.00,North,Credit Card,March    ,2023
ORD10060,CUST1059,Harpreet Singh,PROD160,Thermos,Home,2023-03-07,9,5596.00,50364.00,East,Debit Card,March    ,2023
ORD10061,CUST1060,Paul Joseph,PROD161,Treadmill,Accessories,2023-03-08,4,6555.00,26220.00,North,Credit Card,March    ,2023
ORD10062,CUST1061,Pooja Joshi,PROD162,Moisturizer,Skin Care,2023-03-09,3,3971.00,11913.00,West,Cod,March    ,2023
ORD10063,CUST1062,Jasleen Kaur,PROD163,Board Game,Game,2023-03-10,14,7655.00,107170.00,South,Upi,March    ,2023
ORD10064,CUST1063,Rahul Sharma,PROD164,Phone Case,Accessories,2023-03-11,1,4299.00,4299.00,North,Credit Card,March    ,2023
ORD10001,CUST1001,Rahul Sharma,PROD101,Laptop,Electronics,2023-01-05,1,4755.00,4755.00,North,Credit Card,January  ,2023
ORD10007,CUST1006,Arjun Reddy,PROD107,Dslr Camera,Electronics,2023-01-13,1,6492.00,6492.00,West,Cod,January  ,2023
ORD10067,CUST1066,Rahul Sharma,PROD167,Keyboard,Electronics,2023-03-14,12,8581.00,102972.00,West,Cod,March    ,2023
ORD10068,CUST1067,Neha Gupta,PROD168,Flip Flops,Fashion,2023-03-15,5,5911.00,29555.00,South,Upi,March    ,2023
ORD10069,CUST1068,Rahul Sharma,PROD169,Hoodie,Fashion,2023-03-16,15,9181.00,137715.00,North,Credit Card,March    ,2023
ORD10070,CUST1069,Arjun Reddy,PROD170,Sunglasses,Accessories,2023-03-17,14,1687.00,23618.00,East,Debit Card,March    ,2023
ORD10071,CUST1070,John Mathew,PROD171,Wardrobe,Furniture,2023-03-18,3,2175.00,6525.00,North,Credit Card,March    ,2023
ORD10072,CUST1071,Daniel George,PROD172,Toaster,Electronics,2023-03-19,14,1793.00,25102.00,West,Cod,March    ,2023
ORD10073,CUST1072,Ali Khan,PROD173,Marker,Stationary,2023-03-20,7,8042.00,56294.00,South,Upi,March    ,2023
ORD10074,CUST1073,Rajesh Yadav,PROD174,Shampoo,Skin Care,2023-03-21,2,2813.00,5626.00,North,Credit Card,March    ,2023
ORD10075,CUST1074,Ramesh Gupta,PROD175,Bluetooth Headphones,Electronics,2023-03-22,19,6351.00,120669.00,East,Debit Card,March    ,2023
ORD10076,CUST1075,Harsh Vardhan,PROD176,Mouse,Electronics,2023-03-23,18,6678.00,120204.00,North,Credit Card,March    ,2023
ORD10077,CUST1076,Aditya Roy,PROD177,Heels,Fashion,2023-03-24,4,5490.00,21960.00,West,Cod,March    ,2023
ORD10078,CUST1077,Priya Verma,PROD178,Sweater,Fashion,2023-03-25,10,2468.00,24680.00,South,Upi,March    ,2023
ORD10079,CUST1078,Sneha Iyer,PROD179,Cap,Fashion,2023-03-26,16,7302.00,116832.00,North,Credit Card,March    ,2023
ORD10080,CUST1079,David Thomas,PROD180,Study Table,Furniture,2023-03-27,20,7932.00,158640.00,East,Debit Card,March    ,2023
ORD10081,CUST1080,Rachel D'Silva,PROD181,Induction Cooktop,Electronics,2023-03-28,2,4344.00,8688.00,North,Credit Card,March    ,2023
ORD10083,CUST1082,Sunita Mishra,PROD183,Diary,Stationary,2023-03-30,12,6734.00,80808.00,South,Upi,March    ,2023
ORD10084,CUST1083,Suresh Agarwal,PROD184,Bluetooth Headphones,Electronics,2023-03-31,12,5258.00,63096.00,North,Credit Card,March    ,2023
ORD10085,CUST1084,Ritika Kapoor,PROD185,Heels,Fashion,2023-04-01,20,6065.00,121300.00,East,Debit Card,April    ,2023
ORD10086,CUST1085,Shruti Das,PROD186,Hair Oil,Skin Care,2023-04-02,9,8667.00,78003.00,North,Credit Card,April    ,2023
ORD10087,CUST1086,Amit Singh,PROD187,Wireless Earbuds,Electronics,2023-04-03,20,4699.00,93980.00,West,Cod,April    ,2023
ORD10066,CUST1065,Amit Singh,PROD166,Smartwatch,Accessories,2023-03-13,5,5054.00,25270.00,North,Credit Card,March    ,2023
ORD10088,CUST1087,Karan Malhotra,PROD188,Monitor,Electronics,2023-04-04,11,8352.00,91872.00,South,Upi,April    ,2023
ORD10089,CUST1088,Michael D'Souza,PROD189,Boots,Fashion,2023-04-05,15,9972.00,149580.00,North,Credit Card,April    ,2023
